,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
10,158454794,english,"Had me quaking in my boots when the white man with red scar pulled in frame 9/10

",1708098203,1708098203,True,2,0,0.525862038135528564,0,True,False,False,True,,76561198103733773,0,1,5611,1,5611,1709186405
11,158020066,english,Beautiful,1707591362,1707591362,True,1,0,0.525862038135528564,0,True,False,False,True,,76561198849348989,0,15,2888,0,2888,1707591353
12,159250635,english,"Good Sequel, Okayge",1708874035,1708874035,True,1,0,0.525547444820404053,0,True,False,False,True,,76561198216843448,0,7,831,270,831,1708874006
13,158673802,english,RDR2 GOTY 2018,1708297960,1708297960,True,3,0,0.524339914321899414,0,True,False,False,True,,76561198088848791,600,94,2943,0,2925,1708306428
14,160138000,english,Probably the best story in any game I've ever played. We need GOW Ragnarök on PC.,1709937260,1709937260,True,2,0,0.523809552192687988,0,True,False,False,True,,76561199233103557,99,14,903,680,903,1709937107
15,160032098,english,BOY,1709813445,1709813445,True,1,0,0.523809552192687988,0,True,False,False,True,,76561198059516389,436,9,1428,1355,1428,1709727780
16,159960775,english,best game ever,1709722996,1709722996,True,2,0,0.523809552192687988,0,True,False,False,True,,76561198357689451,8,2,4800,825,4408,1709932194
17,159930616,english, the game is very chargeable for action and adventure and iwould prefer to other games  and the graphics for the pc version is way better with all the options you have could be a problem for playstation  since computers are more advanced,1709674218,1709674218,True,3,1,0.523809552192687988,0,True,False,False,True,,76561199613111047,0,1,5127,5127,4171,1709954109
18,159923980,english,Its the best game i've ever played.,1709666425,1709666425,True,1,0,0.523809552192687988,0,True,False,False,True,,76561199215371774,0,2,4221,383,4221,1709666150
19,159797057,english,"It was great, I loved it.",1709495808,1709495808,True,1,0,0.523809552192687988,0,True,False,False,True,,76561199384770044,0,1,4771,0,4771,1705222688
